algoritmo,tamanho,tipo,execucao,comparacoes,movimentacoes,tempo
RadixsortC,25000,0,1,0,450000,0.000692
RadixsortB,25000,0,1,0,1125000,0.001466
Bolha,25000,0,2,24999,0,0.000012
Coquetel,25000,0,2,24999,0,0.000013
Selecao,25000,0,2,312487500,0,0.084466
Insercao,25000,0,2,24999,49998,0.000011
Shellsort,25000,0,2,264285,528570,0.000167
Mergesort,25000,0,2,178756,545988,0.000222
Heapsort,25000,0,2,341233,486450,0.000896
Quicksort,25000,0,2,428921,746364,0.000610
QuicksortI,25000,0,2,388918,630297,0.000252
Introsort,25000,0,2,332584,87704,0.000115
Countingsort,25000,0,2,0,50000,0.149296
Bucketsort,25000,0,2,25000,100000,0.000579
RadixsortC,25000,0,2,0,450000,0.000703
RadixsortB,25000,0,2,0,1125000,0.001435
Bolha,25000,0,3,24999,0,0.000015
Coquetel,25000,0,3,24999,0,0.000015
Selecao,25000,0,3,312487500,0,0.079657
Insercao,25000,0,3,24999,49998,0.000010
Shellsort,25000,0,3,264285,528570,0.000161
Mergesort,25000,0,3,178756,545988,0.000202
Heapsort,25000,0,3,341233,486450,0.000792
Quicksort,25000,0,3,448340,838968,0.000494
QuicksortI,25000,0,3,413500,601563,0.000244
Introsort,25000,0,3,332584,87704,0.000107
Countingsort,25000,0,3,0,50000,0.149798
Bucketsort,25000,0,3,25000,100000,0.000572
RadixsortC,25000,0,3,0,450000,0.000695
RadixsortB,25000,0,3,0,1125000,0.001431
Bolha,25000,1,1,312487500,937462500,1.485990
Coquetel,25000,1,1,312487500,937462500,1.489340
Selecao,25000,1,1,312487500,37500,0.080675
Insercao,25000,1,1,312487500,312537498,0.059382
Shellsort,25000,1,1,356593,632132,0.000276
Mergesort,25000,1,1,188476,734464,0.000256
Heapsort,25000,1,1,332132,451582,0.000766
Quicksort,25000,1,1,450685,817731,0.000553
QuicksortI,25000,1,1,505806,747200,0.000343
Introsort,25000,1,1,345078,125196,0.000114
Countingsort,25000,1,1,0,50000,0.151105
Bucketsort,25000,1,1,25000,100000,0.000687
RadixsortC,25000,1,1,0,450000,0.000690
RadixsortB,25000,1,1,0,1125000,0.001814
Bolha,25000,1,2,312487500,937462500,1.453017
